CITY_NAME,COUNTRY_CODE,LATITUDE_DEG,LONGITUDE_DEG,DOY_STD,AVG_OF__DAILY_MIN_TEMPERATURE_AIR_2M_F,STD_OF__DAILY_MIN_TEMPERATURE_AIR_2M_F,AVG_OF__DAILY_AVG_TEMPERATURE_AIR_2M_F,STD_OF__DAILY_AVG_TEMPERATURE_AIR_2M_F,AVG_OF__DAILY_MAX_TEMPERATURE_AIR_2M_F,STD_OF__DAILY_MAX_TEMPERATURE_AIR_2M_F,AVG_OF__DAILY_MIN_TEMPERATURE_WETBULB_2M_F,STD_OF__DAILY_MIN_TEMPERATURE_WETBULB_2M_F,AVG_OF__DAILY_AVG_TEMPERATURE_WETBULB_2M_F,STD_OF__DAILY_AVG_TEMPERATURE_WETBULB_2M_F,AVG_OF__DAILY_MAX_TEMPERATURE_WETBULB_2M_F,STD_OF__DAILY_MAX_TEMPERATURE_WETBULB_2M_F,AVG_OF__DAILY_MIN_TEMPERATURE_DEWPOINT_2M_F,STD_OF__DAILY_MIN_TEMPERATURE_DEWPOINT_2M_F,AVG_OF__DAILY_AVG_TEMPERATURE_DEWPOINT_2M_F,STD_OF__DAILY_AVG_TEMPERATURE_DEWPOINT_2M_F,AVG_OF__DAILY_MAX_TEMPERATURE_DEWPOINT_2M_F,STD_OF__DAILY_MAX_TEMPERATURE_DEWPOINT_2M_F,AVG_OF__DAILY_MIN_TEMPERATURE_FEELSLIKE_2M_F,STD_OF__DAILY_MIN_TEMPERATURE_FEELSLIKE_2M_F,AVG_OF__DAILY_AVG_TEMPERATURE_FEELSLIKE_2M_F,STD_OF__DAILY_AVG_TEMPERATURE_FEELSLIKE_2M_F,AVG_OF__DAILY_MAX_TEMPERATURE_FEELSLIKE_2M_F,STD_OF__DAILY_MAX_TEMPERATURE_FEELSLIKE_2M_F,AVG_OF__DAILY_MIN_HUMIDITY_RELATIVE_2M_PCT,STD_OF__DAILY_MIN_HUMIDITY_RELATIVE_2M_PCT,AVG_OF__DAILY_AVG_HUMIDITY_RELATIVE_2M_PCT,STD_OF__DAILY_AVG_HUMIDITY_RELATIVE_2M_PCT,AVG_OF__DAILY_MAX_HUMIDITY_RELATIVE_2M_PCT,STD_OF__DAILY_MAX_HUMIDITY_RELATIVE_2M_PCT,AVG_OF__DAILY_MIN_HUMIDITY_SPECIFIC_2M_GPKG,STD_OF__DAILY_MIN_HUMIDITY_SPECIFIC_2M_GPKG,AVG_OF__DAILY_AVG_HUMIDITY_SPECIFIC_2M_GPKG,STD_OF__DAILY_AVG_HUMIDITY_SPECIFIC_2M_GPKG,AVG_OF__DAILY_MAX_HUMIDITY_SPECIFIC_2M_GPKG,STD_OF__DAILY_MAX_HUMIDITY_SPECIFIC_2M_GPKG,AVG_OF__DAILY_MIN_PRESSURE_2M_MB,STD_OF__DAILY_MIN_PRESSURE_2M_MB,AVG_OF__DAILY_AVG_PRESSURE_2M_MB,STD_OF__DAILY_AVG_PRESSURE_2M_MB,AVG_OF__DAILY_MAX_PRESSURE_2M_MB,STD_OF__DAILY_MAX_PRESSURE_2M_MB,AVG_OF__DAILY_MIN_PRESSURE_MEAN_SEA_LEVEL_MB,STD_OF__DAILY_MIN_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_OF__DAILY_AVG_PRESSURE_MEAN_SEA_LEVEL_MB,STD_OF__DAILY_AVG_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_OF__DAILY_MAX_PRESSURE_MEAN_SEA_LEVEL_MB,STD_OF__DAILY_MAX_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_OF__DAILY_MIN_WIND_SPEED_10M_MPH,STD_OF__DAILY_MIN_WIND_SPEED_10M_MPH,AVG_OF__DAILY_AVG_WIND_SPEED_10M_MPH,STD_OF__DAILY_AVG_WIND_SPEED_10M_MPH,AVG_OF__DAILY_MAX_WIND_SPEED_10M_MPH,STD_OF__DAILY_MAX_WIND_SPEED_10M_MPH,AVG_VEC_OF__DAILY_AVG_VEC_WIND_DIRECTION_10M_DEG,AVG_VEC_OF__DAILY_AVG_VEC_WIND_DIRECTION_80M_DEG,AVG_VEC_OF__DAILY_AVG_VEC_WIND_DIRECTION_100M_DEG,AVG_OF__POS_DAILY_TOT_PRECIPITATION_IN,FRQ_OF__POS_DAILY_TOT_PRECIPITATION_IN_PCT,STD_OF__POS_DAILY_TOT_PRECIPITATION_IN,FRQ_OF__DAILY_TOT_PRECIPITATION_ZERO_IN_PCT,FRQ_OF__DAILY_TOT_PRECIPITATION_001_010_IN_PCT,FRQ_OF__DAILY_TOT_PRECIPITATION_010_025_IN_PCT,FRQ_OF__DAILY_TOT_PRECIPITATION_025_050_IN_PCT,FRQ_OF__DAILY_TOT_PRECIPITATION_050_100_IN_PCT,FRQ_OF__DAILY_TOT_PRECIPITATION_100_250_IN_PCT,FRQ_OF__DAILY_TOT_PRECIPITATION_250_500_IN_PCT,FRQ_OF__DAILY_TOT_PRECIPITATION_500_GTR_IN_PCT,AVG_OF__POS_DAILY_TOT_SNOWFALL_IN,FRQ_OF__POS_DAILY_TOT_SNOWFALL_IN_PCT,STD_OF__POS_DAILY_TOT_SNOWFALL_IN,FRQ_OF__DAILY_TOT_SNOWFALL_ZERO_IN_PCT,FRQ_OF__DAILY_TOT_SNOWFALL_001_010_IN_PCT,FRQ_OF__DAILY_TOT_SNOWFALL_010_025_IN_PCT,FRQ_OF__DAILY_TOT_SNOWFALL_025_050_IN_PCT,FRQ_OF__DAILY_TOT_SNOWFALL_050_100_IN_PCT,FRQ_OF__DAILY_TOT_SNOWFALL_100_150_IN_PCT,FRQ_OF__DAILY_TOT_SNOWFALL_150_250_IN_PCT,FRQ_OF__DAILY_TOT_SNOWFALL_250_GTR_IN_PCT,AVG_OF__POS_DAILY_SNOWDEPTH_IN,STD_OF__POS_DAILY_SNOWDEPTH_IN,AVG_OF__DAILY_MIN_CLOUD_COVER_TOT_PCT,STD_OF__DAILY_MIN_CLOUD_COVER_TOT_PCT,AVG_OF__DAILY_AVG_CLOUD_COVER_TOT_PCT,STD_OF__DAILY_AVG_CLOUD_COVER_TOT_PCT,AVG_OF__DAILY_MAX_CLOUD_COVER_TOT_PCT,STD_OF__DAILY_MAX_CLOUD_COVER_TOT_PCT,AVG_OF__DAILY_MIN_RADIATION_SOLAR_TOTAL_WPM2,STD_OF__DAILY_MIN_RADIATION_SOLAR_TOTAL_WPM2,AVG_OF__DAILY_AVG_RADIATION_SOLAR_TOTAL_WPM2,STD_OF__DAILY_AVG_RADIATION_SOLAR_TOTAL_WPM2,AVG_OF__DAILY_MAX_RADIATION_SOLAR_TOTAL_WPM2,STD_OF__DAILY_MAX_RADIATION_SOLAR_TOTAL_WPM2,AVG_OF__DAILY_TOT_RADIATION_SOLAR_TOTAL_WPM2,STD_OF__DAILY_TOT_RADIATION_SOLAR_TOTAL_WPM2
new_york,US,40.7128000,-74.0060000,8,29.4,9.8,35.1,9.2,40.4,9.4,26.7,9.6,31.8,9.1,36.6,9.4,17.6,12.7,23.9,12.4,30.6,12.6,21.0,12.8,28.5,11.9,35.6,11.7,52.0,15.0,65.0,14.0,79.0,14.8,2.3,1.3,3.1,1.6,4.0,2.1,1012.0,8.8,1017.3,8.2,1022.2,7.8,1012.8,8.9,1018.0,8.2,1022.7,7.8,4.5,3.6,9.4,4.1,14.6,5.2,285,281,281,0.34,34,0.41,66,10,10,6,4,3,0,0,2.19,13,3.52,87,7,2,2,0,0,1,0,1.7,3.0,23,32,57,30,90,21,0.0,0.0,74.7,33.8,342.8,135.2,1792.9,811.2
houston,US,29.7604000,-95.3698000,10,43.6,9.0,51.9,9.1,60.5,10.3,41.2,9.2,47.7,9.2,53.5,9.4,35.7,12.2,42.1,12.1,48.8,12.4,40.4,10.8,49.9,10.7,59.8,11.9,53.0,20.0,72.2,15.0,90.0,11.0,4.8,2.5,6.3,2.9,7.9,3.5,1015.8,18.3,1020.0,7.3,1023.4,7.2,1018.9,7.2,1022.0,7.2,1025.3,7.2,2.3,2.4,6.4,2.9,10.9,3.9,36,45,45,0.34,23,0.36,77,8,5,4,5,1,0,0,0.03,0,0.00,100,0,0,0,0,0,0,0,0.1,0.0,27,37,55,36,80,34,0.0,0.0,108.5,62.8,465.2,230.0,2604.0,1507.0
los_angeles,US,34.0522000,-118.2437000,10,46.6,5.8,56.6,6.3,68.9,9.2,41.6,5.3,48.6,4.6,56.2,5.6,27.7,13.1,35.1,10.7,42.2,9.5,45.2,7.0,55.9,7.0,68.8,9.4,31.5,20.9,51.6,21.5,70.1,22.9,3.6,1.8,4.7,1.9,6.1,2.0,1004.5,4.0,1006.6,3.7,1009.0,3.7,1017.5,4.1,1019.6,3.7,1021.8,3.7,1.1,1.8,3.9,2.5,7.6,3.4,256,21,21,0.41,9,0.34,91,2,1,2,2,1,0,0,0.00,0,0.00,100,0,0,0,0,0,0,0,0.0,0.0,6,15,28,26,60,39,0.0,0.0,138.7,30.7,559.0,101.7,3328.6,736.0
new_york,US,40.7128000,-74.0060000,12,28.2,9.7,33.9,9.2,39.4,9.5,25.5,9.4,30.6,9.0,35.4,9.4,15.9,12.5,22.3,12.2,29.0,12.5,19.4,12.7,26.9,11.9,34.3,11.8,50.0,14.9,64.0,14.0,78.0,14.0,2.2,1.3,2.9,1.6,3.8,2.0,1012.0,8.7,1017.1,8.4,1021.9,8.2,1012.9,8.7,1017.8,8.4,1022.5,8.2,4.8,3.7,9.6,4.2,14.6,5.1,289,286,286,0.32,30,0.41,70,11,7,7,2,3,0,0,2.36,14,3.40,86,7,2,3,1,0,1,0,1.8,2.9,20,31,55,29,89,21,0.0,0.0,80.2,33.4,362.8,133.7,1925.8,802.2
houston,US,29.7604000,-95.3698000,9,43.4,8.8,51.6,9.0,60.1,10.3,41.0,9.0,47.5,9.0,53.2,9.3,35.5,11.9,41.9,11.9,48.5,12.2,40.2,10.5,49.7,10.6,59.4,11.8,53.0,20.0,72.2,15.0,90.0,11.0,4.8,2.4,6.2,2.9,7.8,3.4,1015.9,18.3,1020.2,7.2,1023.5,7.3,1019.1,7.1,1022.2,7.2,1025.4,7.2,2.3,2.3,6.3,2.9,10.8,3.8,31,38,39,0.35,23,0.36,77,8,5,3,6,1,0,0,0.03,0,0.00,100,0,0,0,0,0,0,0,0.1,0.0,27,38,55,36,81,33,0.0,0.0,107.1,62.4,460.5,230.3,2569.6,1498.3
los_angeles,US,34.0522000,-118.2437000,9,46.4,5.8,56.3,6.3,68.6,9.2,41.4,5.2,48.3,4.6,55.9,5.6,27.6,12.8,34.9,10.6,42.0,9.4,45.0,7.0,55.6,7.0,68.5,9.4,31.5,20.0,51.5,21.5,70.1,22.0,3.6,1.7,4.7,1.8,6.0,2.0,1004.6,4.0,1006.7,3.7,1009.0,3.7,1017.6,3.9,1019.7,3.6,1021.9,3.6,1.1,1.8,3.9,2.5,7.6,3.4,258,20,19,0.35,9,0.31,91,3,2,2,2,1,0,0,0.00,0,0.00,100,0,0,0,0,0,0,0,0.0,0.0,6,15,28,26,59,39,0.0,0.0,137.4,31.6,554.7,106.0,3297.0,758.6
mexico_city,MX,19.4326000,-99.1332000,1,39.5,4.1,50.7,2.9,64.6,4.7,36.8,4.6,43.3,3.0,50.2,2.2,28.3,11.5,34.0,8.1,39.4,6.1,37.3,4.5,49.4,3.6,64.4,5.2,31.4,15.8,58.7,14.1,85.3,11.0,4.8,1.7,5.8,1.6,7.0,1.5,754.0,1.5,755.5,1.5,756.9,1.6,1014.3,3.0,1018.3,2.8,1021.2,3.0,1.8,1.6,4.8,2.0,8.1,3.1,258,251,252,0.24,7,0.21,93,2,2,1,1,0,0,0,0.00,0,0.00,100,0,0,0,0,0,0,0,0.0,0.0,25,32,50,32,76,32,0.0,0.0,209.5,46.6,792.1,135.1,5022.9,1110.7
houston,US,29.7604000,-95.3698000,8,43.3,8.7,51.3,8.9,59.7,10.2,40.9,9.0,47.3,9.0,52.9,9.3,35.4,11.9,41.7,11.8,48.3,12.1,40.0,10.4,49.4,10.5,58.9,11.7,53.2,20.0,72.9,15.0,90.0,10.8,4.7,2.4,6.2,2.8,7.8,3.4,1015.9,18.4,1020.2,7.3,1023.5,7.3,1019.1,7.2,1022.2,7.2,1025.4,7.2,2.2,2.3,6.2,2.9,10.7,3.8,29,36,36,0.38,24,0.48,76,9,5,3,5,2,0,0,0.03,0,0.00,100,0,0,0,0,0,0,0,0.1,0.0,28,38,57,35,82,33,0.0,0.0,106.3,61.4,460.4,227.0,2550.8,1473.6
tokyo,JP,35.6895000,139.6917000,21,32.6,3.4,38.4,3.7,45.4,4.8,30.4,3.8,35.2,4.0,40.2,4.6,24.8,6.5,29.4,6.4,34.4,6.7,25.7,4.2,33.0,4.8,41.9,6.3,55.0,16.0,72.0,12.0,86.0,10.0,2.9,0.8,3.5,1.0,4.3,1.2,1017.2,7.7,1021.2,6.6,1025.1,5.9,1013.1,7.5,1016.7,6.5,1020.4,5.8,3.6,2.4,8.0,2.8,12.8,4.5,345,342,342,0.40,26,0.55,74,11,6,3,4,3,0,0,0.00,0,0.00,100,0,0,0,0,0,0,0,0.0,0.0,20,29,51,30,87,24,0.0,0.0,118.2,43.7,489.0,165.2,2836.0,1048.8
paris,FR,48.8566000,2.3522000,21,34.7,7.1,38.9,6.7,43.3,6.2,33.6,7.1,37.4,6.7,41.0,6.3,31.4,8.4,35.1,7.9,38.6,7.7,27.6,8.1,32.4,7.6,37.9,6.9,76.2,13.0,87.0,8.0,94.0,5.0,3.9,1.2,4.5,1.3,5.1,1.5,1003.8,12.3,1007.3,11.2,1010.9,10.2,1014.3,12.4,1017.8,11.3,1021.5,10.3,6.9,4.2,11.2,4.9,15.5,6.3,228,233,234,0.15,33,0.12,67,16,11,5,1,0,0,0,1.00,2,0.72,98,1,1,0,0,0,0,0,1.6,1.3,42,36,75,26,95,17,0.0,0.0,40.5,24.1,201.1,111.1,972.6,577.8
